NBC,,,,,,,,,,,,,,,,,,,,,,,F280,,,,,,,,,,,,,,,,,,,,,
Location,Prov,Elev (m),Latitude,Longitude,Elevation (m),January 2.5% DB (°C),January 1% DB (°C),July 2.5% DB (°C),July 2.5% WB (°C),Future July 2.5% DB (°C),Degree-Days below 18 °C,15 min. Rain (mm),"One day rain, 1/50 (mm)",Annual Rain (mm),Moist Index,Annual total precipitation (mm),"Driving rain wind pressures (Pa), 1/5","S_s Snow Load (kPa), 1/5","S_r Snow Load (kPa), 1/5","Hourly wind pressures (kPa), 1/10","Hourly wind pressures (kPa), 1/50",Climate_Zone,City,Region,DegDay,DHDBT,DCDBT,Strange,OHR,DGTEMP,JanWind,JulWind,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Portage la Prairie,MB,260,50,-98.29,260,-31,-33,30,23,34,5600,28,108,390,0.5,525,180,2.1,0.2,0.36,0.46,CZ7A,Portage la Prairie,MB,5600,-31,30,12,15,6,14,11,-15,-12,-5,5,12,17,20,19,12,5,-6,-13
Rivers,MB,465,50.03,-100.23,465,-34,-36,29,23,33,5840,28,108,370,0.6,460,180,2.1,0.2,0.36,0.46,CZ7A,Rivers,MB,5840,-34,29,14,15,6,16,15,-14,-14,-5,5,13,17,19,17,12,4,-6,-14
Sandilands,MB,365,49.36,-96.3,365,-32,-34,29,23,33,5650,28,113,460,0.6,550,180,2.2,0.2,0.32,0.4,CZ7A,Sandilands,MB,5650,-32,29,13,15,6,15,13,-17,-12,-5,4,12,17,19,18,12,5,-6,-13
Selkirk,MB,225,50.15,-96.87,225,-33,-35,29,23,33,5700,28,108,420,0.6,500,180,1.9,0.2,0.32,0.41,CZ7A,Selkirk,MB,5700,-33,29,12,15,6,13,11,-17,-13,-6,4,12,17,20,19,13,6,-5,-14
Split Lake,MB,175,56.25,-96.1,175,-38,-40,27,19,31,7900,18,76,325,0.7,500,120,2.5,0.2,0.31,0.39,CZ8,Split Lake,MB,7900,-38,27,11,11,1,13,13,-24,-21,-13,-3,6,13,16,15,8,0,-13,-22
Steinbach,MB,270,49.53,-96.68,270,-33,-35,29,23,33,5700,28,108,440,0.6,500,180,2,0.2,0.32,0.4,CZ7A,Steinbach,MB,5700,-33,29,13,15,6,16,14,-17,-13,-6,4,12,17,19,18,12,5,-5,-14
Swan River,MB,335,52.14,-101.27,335,-34,-37,29,22,34,6100,20,92,370,0.6,500,120,2,0.2,0.28,0.35,CZ7B,Swan River,MB,6100,-34,29,13,14,5,12,10,-17,-14,-8,3,10,15,18,17,12,4,-6,-13
The Pas,MB,270,53.87,-101.25,270,-36,-38,28,21,33,6480,18,81,330,0.6,450,160,2.2,0.2,0.29,0.37,CZ7B,The Pas,MB,6480,-36,28,10,13,5,13,13,-19,-16,-9,1,9,15,18,17,11,3,-8,-16
Thompson,MB,205,55.79,-97.86,205,-40,-43,27,19,31,7600,18,86,350,0.6,540,100,2.4,0.2,0.28,0.36,CZ8,Thompson,MB,7600,-40,27,13,11,2,11,11,-24,-20,-12,-2,6,13,16,15,8,0,-12,-21
Virden,MB,435,49.86,-100.93,435,-33,-35,30,23,34,5620,28,108,350,0.5,460,180,2,0.2,0.36,0.46,CZ7A,Virden,MB,5620,-33,30,13,15,6,16,15,-17,-12,-5,4,12,17,19,18,12,5,-5,-14
Winnipeg,MB,235,49.89,-97.15,235,-33,-35,30,23,34,5670,28,108,415,0.6,500,180,1.9,0.2,0.36,0.45,CZ7A,Winnipeg,MB,5670,-33,30,12,15,6,18,15,-16,-13,-6,4,12,17,20,19,13,5,-5,-13
Ailsa Craig,ON,230,43.13,-81.55,230,-17,-19,30,23,34,3840,25,103,800,0.9,950,180,2.2,0.4,0.37,0.48,CZ5,Ailsa Craig,ON,3840,-17,30,12,15,10,19,11,-6,-5,0,7,14,19,21,20,16,10,3,-3
Ajax,ON,95,43.85,-79.03,95,-20,-22,30,23,34,3820,23,92,760,0.9,825,160,1,0.4,0.37,0.48,CZ5,Ajax,ON,3820,-20,30,10,15,10,17,10,-5,-4,0,6,12,17,20,20,15,9,4,-2
Alexandria,ON,80,45.32,-74.63,80,-24,-26,30,23,34,4600,25,103,800,0.9,975,160,2.4,0.4,0.31,0.4,CZ6,Alexandria,ON,4600,-24,30,11,15,9,12,8,-11,-11,-4,4,12,18,20,19,15,9,0,-8
Alliston,ON,220,44.15,-79.87,220,-23,-25,29,23,33,4200,28,113,690,0.8,875,120,2,0.4,0.28,0.36,CZ6,Alliston,ON,4200,-23,29,12,15,9,12,10,-7,-6,-1,6,13,18,21,20,15,9,3,-3
Almonte,ON,120,45.23,-76.2,120,-26,-28,30,23,34,4620,25,97,730,0.8,800,140,2.5,0.4,0.32,0.41,CZ6,Almonte,ON,4620,-26,30,12,15,9,13,9,-11,-8,-3,4,13,17,20,18,14,6,1,-8
Armstrong,ON,340,50.3,-89.03,340,-37,-40,28,21,32,6500,23,97,525,0.8,725,100,2.7,0.4,0.22,0.3,CZ7B,Armstrong,ON,6500,-37,28,13,13,9,8,9,-18,-16,-8,0,7,14,17,15,11,3,-6,-13
Arnprior,ON,85,45.43,-76.35,85,-27,-29,30,23,34,4680,23,86,630,0.8,775,140,2.5,0.4,0.29,0.37,CZ6,Arnprior,ON,4680,-27,30,12,15,5,14,10,-12,-10,-3,5,13,18,21,19,14,8,1,-7
Atikokan,ON,400,48.75,-91.62,400,-33,-35,29,22,33,5750,25,103,570,0.8,760,100,2.4,0.3,0.22,0.3,CZ7A,Atikokan,ON,5750,-33,29,12,14,9,7,7,-15,-12,-5,3,10,16,19,17,13,5,-3,-11
Attawapiskat,ON,10,52.93,-82.43,10,-37,-39,28,21,32,7100,18,81,450,0.8,650,160,2.8,0.3,0.3,0.41,CZ8,Attawapiskat,ON,7100,-37,28,13,13,6,13,13,-22,-19,-10,-3,5,12,15,14,9,3,-5,-17
Aurora,ON,270,44,-79.47,270,-21,-23,30,23,34,4210,28,108,700,0.8,800,140,2,0.4,0.34,0.44,CZ6,Aurora,ON,4210,-21,30,10,15,9,14,10,-8,-7,-2,6,13,18,20,19,15,8,2,-4
Bancroft,ON,365,45.05,-77.85,365,-28,-31,29,23,33,4740,25,92,720,0.9,900,100,3.1,0.4,0.25,0.32,CZ6,Bancroft,ON,4740,-28,29,14,15,8,7,6,-10,-8,-3,4,11,16,18,17,13,6,0,-6
Barrie,ON,245,44.4,-79.67,245,-24,-26,29,23,33,4380,28,97,700,0.8,900,120,2.5,0.4,0.28,0.36,CZ6,Barrie,ON,4380,-24,29,11,15,9,13,8,-8,-7,-2,5,12,17,20,19,15,9,2,-4
Barriefield,ON,100,44.23,-76.47,100,-22,-24,28,23,32,3990,23,108,780,1,950,160,2.1,0.4,0.37,0.47,CZ5,Barriefield,ON,3990,-22,28,9,16,10,19,13,-7,-6,-1,7,13,18,21,20,16,9,3,-3
Beaverton,ON,240,44.43,-79.15,240,-24,-26,30,23,34,4300,25,108,720,0.9,950,120,2.2,0.4,0.28,0.36,CZ6,Beaverton,ON,4300,-24,30,8,15,9,17,15,-9,-7,-3,5,12,18,20,20,16,9,3,-3
Belleville,ON,90,44.17,-77.38,90,-22,-24,29,23,33,3910,23,97,760,0.9,850,180,1.7,0.4,0.34,0.43,CZ5,Belleville,ON,3910,-22,29,10,15,10,17,12,-7,-6,-1,7,14,19,22,21,16,9,3,-3
Belmont,ON,260,42.88,-81.08,260,-17,-19,30,24,34,3840,25,97,850,1,950,180,1.7,0.4,0.37,0.47,CZ5,Belmont,ON,3840,-17,30,10,16,10,19,11,-7,-7,0,6,13,18,21,20,16,9,3,-3
CFB Borden,ON,225,44.27,-79.88,225,-23,-25,29,23,33,4300,28,103,690,0.82,875,120,2.2,0.4,0.28,0.36,CZ6,CFB Borden,ON,4300,-23,29,13,15,8,12,10,-5,-6,-2,6,13,17,20,19,14,8,2,-5
Bracebridge,ON,310,45.03,-79.3,310,-26,-28,29,23,33,4800,25,103,830,1,1050,120,3.1,0.4,0.27,0.35,CZ6,Bracebridge,ON,4800,-26,29,12,15,8,15,12,-9,-9,-2,4,13,16,20,18,13,7,1,-6
Bradford,ON,240,44.12,-79.57,240,-23,-25,30,23,34,4280,28,108,680,0.8,800,120,2.1,0.4,0.28,0.36,CZ6,Bradford,ON,4280,-23,30,12,15,9,12,10,-7,-6,-1,6,12,17,20,19,15,8,2,-4
Brampton,ON,215,43.68,-79.77,215,-19,-21,30,23,34,4100,28,119,720,0.8,820,140,1.3,0.4,0.34,0.44,CZ6,Brampton,ON,4100,-19,30,11,15,9,18,13,-6,-6,-1,7,14,19,22,20,15,9,4,-3
Brantford,ON,205,43.13,-80.27,205,-18,-20,30,23,34,3900,23,103,780,0.9,850,160,1.3,0.4,0.33,0.42,CZ5,Brantford,ON,3900,-18,30,11,15,10,15,12,-6,-5,0,7,14,19,21,20,16,9,4,-3
Brighton,ON,95,44.03,-77.73,95,-21,-23,29,23,33,4000,23,94,760,0.9,850,160,1.6,0.4,0.37,0.48,CZ6,Brighton,ON,4000,-21,29,10,15,10,17,12,-6,-4,0,6,11,17,20,20,16,9,4,-1
Brockville,ON,85,44.59,-75.68,85,-23,-25,29,23,33,4060,25,103,770,0.9,975,180,2.2,0.4,0.34,0.44,CZ6,Brockville,ON,4060,-23,29,10,15,10,18,13,-8,-7,-1,6,13,18,21,20,15,9,3,-4
Burk's Falls,ON,305,45.62,-79.4,305,-26,-28,29,22,33,5020,25,97,810,0.9,1010,120,2.7,0.4,0.27,0.35,CZ7A,Burk's Falls,ON,5020,-26,29,13,14,8,12,10,-13,-10,-5,3,11,15,17,17,12,6,0,-8
Burlington,ON,80,43.32,-79.8,80,-17,-19,31,23,35,3740,23,103,770,0.9,850,160,1.1,0.4,0.36,0.46,CZ5,Burlington,ON,3740,-17,31,7,14,10,15,11,-3,-2,1,7,13,19,22,21,18,11,6,0
Cambridge,ON,295,43.38,-80.32,295,-18,-20,29,23,33,4100,25,113,800,0.9,890,160,1.6,0.4,0.28,0.36,CZ6,Cambridge,ON,4100,-18,29,12,15,10,15,10,-7,-6,-1,6,13,18,20,19,15,9,3,-4
Campbellford,ON,150,44.3,-77.8,150,-23,-26,30,23,34,4280,25,97,730,0.9,850,160,1.7,0.4,0.32,0.41,CZ6,Campbellford,ON,4280,-23,30,12,15,9,13,9,-5,-6,-1,7,14,19,21,20,15,9,2,-5
Cannington,ON,255,44.35,-79.03,255,-24,-26,30,23,34,4310,25,108,740,0.9,950,120,2.2,0.4,0.28,0.36,CZ6,Cannington,ON,4310,-24,30,11,15,9,13,9,-7,-7,-2,5,12,18,20,19,15,8,2,-5
Carleton Place,ON,135,45.13,-76.15,135,-25,-27,30,23,34,4600,25,97,730,0.8,850,160,2.5,0.4,0.32,0.41,CZ6,Carleton Place,ON,4600,-25,30,13,15,9,13,9,-10,-8,-2,6,13,18,21,19,14,8,1,-6
Cavan,ON,200,44.2,-78.47,200,-23,-25,30,23,34,4400,25,97,740,0.9,850,140,2,0.4,0.34,0.44,CZ6,Cavan,ON,4400,-23,30,12,15,9,13,9,-8,-6,-2,6,12,17,19,19,15,8,2,-3
Centralia,ON,260,43.28,-81.47,260,-17,-19,30,23,34,3800,25,103,820,1,1000,180,2.3,0.4,0.37,0.48,CZ5,Centralia,ON,3800,-17,30,11,15,10,19,11,-6,-6,0,6,13,18,20,19,15,9,3,-3
Chapleau,ON,425,47.83,-83.4,425,-35,-38,27,21,31,5900,20,97,530,0.7,850,80,3.6,0.4,0.23,0.3,CZ7A,Chapleau,ON,5900,-35,27,12,13,6,10,12,-16,-13,-7,1,9,14,17,16,11,4,-4,-12
Chatham,ON,180,42.4,-82.18,180,-16,-18,31,24,34,3470,28,103,800,0.9,850,180,1,0.4,0.34,0.43,CZ5,Chatham,ON,3470,-16,31,10,16,11,17,13,-4,-2,2,8,15,20,22,21,18,11,5,-1
Chesley,ON,275,44.28,-81.08,275,-19,-21,29,22,33,4320,28,103,810,0.9,1125,140,2.8,0.4,0.35,0.45,CZ6,Chesley,ON,4320,-19,29,12,14,9,17,10,-7,-7,-2,5,11,16,19,18,14,8,2,-4
Clinton,ON,280,43.62,-81.53,280,-17,-19,29,23,33,4150,25,103,810,0.9,1000,160,2.6,0.4,0.36,0.46,CZ6,Clinton,ON,4150,-17,29,12,15,9,19,12,-6,-6,-1,6,13,17,20,19,15,9,3,-3
Coboconk,ON,270,44.65,-78.8,270,-25,-27,30,23,34,4500,25,108,740,0.9,950,120,2.5,0.4,0.27,0.35,CZ6,Coboconk,ON,4500,-25,30,11,15,8,13,9,-10,-9,-3,5,13,17,20,19,14,8,1,-6
Cobourg,ON,90,43.97,-78.17,90,-21,-23,29,23,33,3980,23,94,760,0.9,825,160,1.2,0.4,0.38,0.49,CZ5,Cobourg,ON,3980,-21,29,7,15,10,15,8,-6,-4,0,6,11,17,20,20,16,9,4,-1
Cochrane,ON,245,49.07,-81.02,245,-34,-36,29,21,33,6200,20,92,575,0.8,875,80,2.8,0.3,0.27,0.35,CZ7B,Cochrane,ON,6200,-34,29,13,12,6,12,11,-18,-16,-9,1,9,14,17,15,10,4,-4,-15
Colborne,ON,105,44,-77.88,105,-21,-23,29,23,33,3980,23,94,760,0.9,850,160,1.6,0.4,0.38,0.49,CZ5,Colborne,ON,3980,-21,29,7,15,10,16,10,-6,-4,0,6,11,17,20,20,16,9,4,-1
Collingwood,ON,190,44.48,-80.22,190,-21,-23,29,23,33,4180,28,97,720,0.9,950,160,2.7,0.4,0.3,0.39,CZ6,Collingwood,ON,4180,-21,29,8,15,8,15,10,-5,-5,-1,6,11,18,21,20,16,10,4,-2
Cornwall,ON,35,45.03,-74.73,35,-23,-25,30,23,34,4250,25,103,780,0.9,960,180,2.2,0.4,0.32,0.41,CZ6,Cornwall,ON,4250,-23,30,10,15,9,17,13,-9,-7,-1,6,14,19,22,20,16,9,3,-5
Corunna,ON,185,42.88,-82.43,185,-16,-18,31,24,34,3600,25,100,760,0.9,800,180,1,0.4,0.37,0.47,CZ5,Corunna,ON,3600,-16,31,11,16,10,18,13,-5,-4,1,8,14,19,22,21,17,11,4,-2
Deep River,ON,145,46.1,-77.5,145,-29,-32,30,22,34,4900,23,92,650,0.8,850,100,2.5,0.4,0.27,0.35,CZ6,Deep River,ON,4900,-29,30,12,13,8,11,9,-12,-10,-3,5,13,17,20,19,14,7,0,-8
Deseronto,ON,85,44.2,-77.05,85,-22,-24,29,23,33,4070,23,92,760,0.9,900,160,1.9,0.4,0.34,0.43,CZ6,Deseronto,ON,4070,-22,29,12,15,10,18,13,-8,-6,-1,6,13,18,20,20,15,9,3,-3
Dorchester,ON,260,42.98,-81.07,260,-18,-20,30,24,34,3900,28,103,850,1,950,180,1.9,0.4,0.37,0.47,CZ5,Dorchester,ON,3900,-18,30,10,16,10,19,11,-5,-5,0,7,13,18,21,20,16,9,4,-2
Dorion,ON,200,48.78,-88.53,200,-33,-35,28,21,32,5950,20,103,550,0.8,725,160,2.8,0.4,0.29,0.39,CZ7A,Dorion,ON,5950,-33,28,13,13,6,12,10,-18,-14,-7,1,9,13,16,15,10,5,-3,-13
Dresden,ON,185,42.58,-82.18,185,-16,-18,31,24,34,3750,28,97,760,0.8,820,180,1,0.4,0.34,0.43,CZ5,Dresden,ON,3750,-16,31,11,16,11,17,13,-6,-5,1,7,14,19,21,20,16,10,4,-2
Dryden,ON,370,49.78,-92.75,370,-34,-36,28,22,32,5850,25,97,550,0.7,700,120,2.4,0.3,0.22,0.3,CZ7A,Dryden,ON,5850,-34,28,11,14,6,12,12,-23,-19,-12,-3,5,10,13,12,6,1,-9,-19
Dundalk,ON,525,44.17,-80.39,525,-22,-24,29,22,33,4700,28,108,750,0.9,1080,150,3.2,0.4,0.33,0.42,CZ6,Dundalk,ON,4700,-22,29,11,14,8,15,10,-9,-8,-4,4,11,15,18,17,13,7,1,-5
Dunnville,ON,175,42.9,-79.62,175,-15,-17,30,24,34,3660,23,108,830,1,950,160,2,0.4,0.36,0.46,CZ5,Dunnville,ON,3660,-15,30,11,16,10,18,11,-6,-5,0,6,13,18,21,20,16,10,4,-2
Durham,ON,340,44.17,-80.82,340,-20,-22,29,22,33,4340,28,103,815,0.9,1025,140,2.8,0.4,0.34,0.44,CZ6,Durham,ON,4340,-20,29,11,14,9,17,10,-8,-7,-2,5,12,17,19,19,14,8,2,-4
Dutton,ON,225,42.67,-81.5,225,-16,-18,31,24,35,3700,28,92,850,1,925,180,1.3,0.4,0.37,0.47,CZ5,Dutton,ON,3700,-16,31,12,16,10,17,11,-6,-4,1,7,13,19,21,20,16,11,4,-2
Earlton,ON,245,47.72,-79.82,245,-33,-36,29,22,33,5730,23,92,560,0.8,820,120,3.1,0.4,0.35,0.45,CZ7A,Earlton,ON,5730,-33,29,12,14,6,14,13,-16,-12,-7,3,10,15,18,16,12,5,-3,-13
Edison,ON,365,49.8,-93.55,365,-34,-36,28,22,32,5740,25,108,510,0.7,680,120,2.4,0.3,0.23,0.31,CZ7A,Edison,ON,5740,-34,28,14,14,6,12,12,-20,-16,-8,1,10,15,18,16,10,4,-5,-16
Elliot Lake,ON,380,46.38,-82.66,380,-26,-28,29,21,33,4950,23,108,630,0.8,950,160,2.9,0.4,0.3,0.38,CZ6,Elliot Lake,ON,4950,-26,29,11,12,7,11,11,-11,-10,-4,4,11,17,19,18,13,6,-1,-7
Elmvale,ON,220,44.58,-79.87,220,-24,-26,29,23,33,4200,28,97,720,0.9,950,140,2.6,0.4,0.28,0.36,CZ6,Elmvale,ON,4200,-24,29,12,15,8,12,7,-7,-7,-2,5,12,17,20,19,14,8,2,-4
Embro,ON,310,43.15,-80.9,310,-19,-21,30,23,34,3950,28,113,830,0.9,950,160,2,0.4,0.37,0.48,CZ5,Embro,ON,3950,-19,30,12,15,10,17,11,-6,-5,0,6,13,18,20,20,15,9,3,-3
Englehart,ON,205,47.82,-79.87,205,-33,-36,29,22,33,5800,23,92,600,0.8,880,100,2.8,0.4,0.32,0.41,CZ7A,Englehart,ON,5800,-33,29,12,14,6,14,13,-16,-12,-7,3,10,15,18,16,12,5,-3,-13
Espanola,ON,220,46.25,-81.77,220,-25,-27,29,21,33,4920,23,108,650,0.8,840,160,2.3,0.4,0.33,0.42,CZ6,Espanola,ON,4920,-25,29,14,12,8,16,13,-12,-11,-5,4,11,16,19,17,12,6,0,-9
Exeter,ON,265,43.35,-81.48,265,-17,-19,30,23,34,3900,25,113,810,0.9,975,180,2.4,0.4,0.37,0.48,CZ5,Exeter,ON,3900,-17,30,11,15,10,19,12,-6,-6,0,6,13,18,20,19,15,9,3,-3
Fenelon Falls,ON,260,44.53,-78.75,260,-25,-27,30,23,34,4440,25,108,730,0.9,950,120,2.3,0.4,0.28,0.36,CZ6,Fenelon Falls,ON,4440,-25,30,12,15,9,13,9,-9,-7,-2,5,12,18,20,18,14,9,2,-4
Fergus,ON,400,43.7,-80.37,400,-20,-22,29,23,33,4300,28,108,760,0.9,925,160,2.2,0.4,0.28,0.36,CZ6,Fergus,ON,4300,-20,29,10,15,9,16,10,-8,-7,-2,5,12,17,20,19,14,8,2,-5
Forest,ON,215,43.1,-82,215,-16,-18,31,23,35,3740,25,103,810,1,875,160,2,0.4,0.37,0.48,CZ5,Forest,ON,3740,-16,31,11,14,10,19,12,-4,-4,1,7,13,19,21,20,16,10,4,-2
Fort Erie,ON,180,42.9,-78.93,180,-15,-17,30,24,34,3650,23,108,860,1,1020,160,2.3,0.4,0.36,0.46,CZ5,Fort Erie,ON,3650,-15,30,10,16,10,24,15,-5,-4,0,6,12,18,21,20,16,10,5,-1
Fort Erie (Ridgeway),ON,190,42.88,-79.05,190,-15,-17,30,24,34,3600,25,108,860,1,1000,160,2.3,0.4,0.36,0.46,CZ5,Fort Erie (Ridgeway),ON,3600,-15,30,10,16,10,24,15,-5,-4,0,6,12,18,21,20,16,10,5,-1
Fort Frances,ON,340,48.61,-93.39,340,-33,-35,29,22,33,5440,25,108,570,0.7,725,120,2.3,0.3,0.23,0.31,CZ7A,Fort Frances,ON,5440,-33,29,12,14,7,10,9,-16,-12,-4,4,12,17,20,18,12,6,-3,-12
Gananoque,ON,80,44.33,-76.17,80,-22,-24,28,23,32,4010,23,103,760,0.9,900,180,2.1,0.4,0.37,0.47,CZ6,Gananoque,ON,4010,-22,28,9,16,10,18,13,-7,-6,-1,7,13,18,21,20,16,9,3,-3
Geraldton,ON,345,49.73,-86.95,345,-36,-39,28,21,32,6450,20,86,550,0.8,725,100,2.9,0.4,0.22,0.3,CZ7B,Geraldton,ON,6450,-36,28,12,13,5,11,11,-19,-15,-9,1,9,14,17,16,10,3,-6,-14
Glencoe,ON,215,42.75,-81.72,215,-16,-18,31,24,35,3680,28,103,800,0.9,925,180,1.5,0.4,0.34,0.43,CZ5,Glencoe,ON,3680,-16,31,12,16,11,17,10,-6,-4,1,7,13,19,21,20,16,11,4,-2
Goderich,ON,185,43.75,-81.72,185,-16,-18,29,23,33,4000,25,92,810,1,950,180,2.4,0.4,0.37,0.48,CZ6,Goderich,ON,4000,-16,29,9,15,9,21,12,-4,-4,0,6,12,17,20,19,16,10,5,-1
Gore Bay,ON,205,45.92,-82.47,205,-24,-26,28,22,32,4700,23,92,640,0.8,860,160,2.6,0.4,0.34,0.44,CZ6,Gore Bay,ON,4700,-24,28,9,14,8,18,14,-9,-8,-4,4,11,16,19,19,15,8,2,-4
Graham,ON,495,49.25,-90.57,495,-35,-37,29,22,33,5940,23,97,570,0.8,750,140,2.6,0.3,0.22,0.3,CZ7A,Graham,ON,5940,-35,29,13,14,6,8,7,-19,-15,-8,1,10,15,18,16,10,4,-5,-15
Gravenhurst (Muskoka Airport),ON,255,44.92,-79.37,255,-26,-28,29,23,33,4760,25,103,790,0.9,1050,120,2.7,0.4,0.28,0.36,CZ6,Gravenhurst (Muskoka Airport),ON,4760,-26,29,12,15,8,15,12,-10,-9,-3,4,12,16,19,18,13,7,1,-7
Grimsby,ON,85,43.2,-79.57,85,-16,-18,30,23,34,3520,23,108,760,0.9,875,160,0.9,0.4,0.36,0.46,CZ5,Grimsby,ON,3520,-16,30,11,15,10,21,13,-4,-4,1,7,14,19,22,21,17,10,5,-1
Guelph,ON,340,43.55,-80.25,340,-19,-21,29,23,33,4270,28,103,770,0.9,875,140,1.9,0.4,0.28,0.36,CZ6,Guelph,ON,4270,-19,29,12,15,9,15,10,-8,-7,-1,6,12,17,20,19,14,8,2,-4
Guthrie,ON,280,44.47,-79.55,280,-24,-26,29,23,33,4300,28,103,700,0.8,950,120,2.5,0.4,0.28,0.36,CZ6,Guthrie,ON,4300,-24,29,11,15,9,13,8,-8,-7,-2,5,12,17,20,19,15,9,2,-4
Haileybury,ON,210,47.45,-79.63,210,-32,-35,30,22,34,5600,23,92,590,0.8,820,120,2.4,0.4,0.34,0.44,CZ7A,Haileybury,ON,5600,-32,30,10,13,7,13,12,-15,-12,-6,2,11,17,20,18,13,7,-1,-10
Haldimand (Caledonia),ON,190,43.07,-79.93,190,-18,-20,30,23,34,3750,23,108,810,0.9,875,160,1.2,0.4,0.34,0.44,CZ5,Haldimand (Caledonia),ON,3750,-18,30,12,15,9,20,13,-5,-4,0,7,13,19,21,20,16,10,3,-2
Haldimand (Hagersville),ON,215,42.97,-80.05,215,-17,-19,30,23,34,3760,25,97,840,1,875,160,1.3,0.4,0.36,0.46,CZ5,Haldimand (Hagersville),ON,3760,-17,30,11,15,10,18,11,-4,-4,1,7,14,19,21,20,16,10,4,-2
Haliburton,ON,335,45.05,-78.52,335,-27,-29,29,23,33,4840,25,92,780,0.9,980,100,2.9,0.4,0.27,0.35,CZ6,Haliburton,ON,4840,-27,29,12,15,8,11,10,-11,-9,-4,4,12,16,19,18,13,7,1,-7
Halton Hills (Georgetown),ON,255,43.65,-79.92,255,-19,-21,30,23,34,4200,28,119,750,0.8,850,140,1.4,0.4,0.29,0.37,CZ6,Halton Hills (Georgetown),ON,4200,-19,30,14,15,9,18,12,-7,-6,-1,6,12,17,20,19,14,8,2,-3
Hamilton,ON,90,43.25,-79.86,90,-17,-19,31,23,35,3460,23,108,810,0.9,875,160,1.1,0.4,0.36,0.46,CZ5,Hamilton,ON,3460,-17,31,10,14,10,17,13,-5,-4,0,7,13,19,22,21,16,10,4,-2
Hanover,ON,270,44.15,-81.03,270,-19,-21,29,22,33,4300,28,103,790,0.9,1050,140,2.6,0.4,0.34,0.44,CZ6,Hanover,ON,4300,-19,29,13,14,9,17,10,-7,-7,-2,5,12,17,19,19,14,8,2,-4
Hastings,ON,200,44.3,-77.95,200,-24,-26,30,23,34,4280,25,92,730,0.9,840,140,2,0.4,0.32,0.41,CZ6,Hastings,ON,4280,-24,30,12,15,9,13,9,-8,-7,-1,6,12,18,20,20,14,9,2,-4
Hawkesbury,ON,50,45.6,-74.62,50,-25,-27,30,23,34,4610,23,103,800,0.9,925,160,2.3,0.4,0.32,0.41,CZ6,Hawkesbury,ON,4610,-25,30,12,15,9,12,8,-11,-9,-3,5,13,18,20,19,14,7,0,-8
Hearst,ON,245,49.68,-83.67,245,-35,-37,29,21,33,6450,20,86,520,0.7,825,80,2.8,0.3,0.23,0.3,CZ7B,Hearst,ON,6450,-35,29,13,12,5,10,10,-19,-15,-9,0,8,15,17,16,12,4,-5,-12
Honey Harbour,ON,180,44.87,-79.82,180,-24,-26,29,23,33,4300,25,97,710,0.9,1050,160,2.7,0.4,0.3,0.39,CZ6,Honey Harbour,ON,4300,-24,29,10,15,8,9,6,-8,-7,-2,5,12,18,21,20,16,9,3,-3
Hornepayne,ON,360,49.22,-84.78,360,-37,-40,28,21,32,6340,20,93,420,0.7,750,80,3.3,0.4,0.22,0.3,CZ7B,Hornepayne,ON,6340,-37,28,15,13,5,9,9,-20,-16,-9,0,9,13,16,14,9,4,-4,-15
Huntsville,ON,335,45.33,-79.22,335,-26,-29,29,22,33,4850,25,103,800,0.9,1000,120,2.9,0.4,0.27,0.35,CZ6,Huntsville,ON,4850,-26,29,11,14,8,15,12,-10,-9,-3,5,12,17,19,18,14,8,1,-6
Ingersoll,ON,280,43.03,-80.88,280,-18,-20,30,23,34,3920,28,108,840,1,950,180,1.7,0.4,0.37,0.48,CZ5,Ingersoll,ON,3920,-18,30,10,15,10,19,11,-6,-5,0,6,13,18,21,20,16,9,3,-3
Iroquois Falls,ON,275,48.77,-80.68,275,-33,-36,29,21,33,6100,20,86,575,0.8,825,100,2.9,0.3,0.29,0.37,CZ7B,Iroquois Falls,ON,6100,-33,29,14,12,5,12,11,-18,-16,-9,1,9,15,17,16,10,4,-4,-14
Jellicoe,ON,330,49.68,-87.52,330,-36,-39,28,21,32,6400,20,86,550,0.8,750,100,2.7,0.4,0.22,0.3,CZ7B,Jellicoe,ON,6400,-36,28,12,13,5,11,11,-19,-15,-9,1,9,14,17,16,10,3,-6,-14
Kapuskasing,ON,245,49.42,-82.43,245,-34,-36,29,21,33,6250,20,86,550,0.8,825,100,3,0.3,0.24,0.31,CZ7B,Kapuskasing,ON,6250,-34,29,12,12,5,13,11,-18,-15,-8,1,9,15,17,16,11,4,-4,-13
Kemptville,ON,90,45.02,-75.64,90,-25,-27,30,23,34,4540,25,92,750,0.9,925,160,2.3,0.4,0.32,0.41,CZ6,Kemptville,ON,4540,-25,30,12,15,9,11,8,-10,-9,-3,6,13,18,20,19,14,8,1,-7
Kenora,ON,370,49.82,-94.43,370,-33,-35,28,22,32,5630,25,113,515,0.6,630,120,2.5,0.3,0.23,0.31,CZ7A,Kenora,ON,5630,-33,28,9,14,6,13,13,-16,-12,-5,4,11,17,20,19,13,5,-5,-13
