#,Name,a1,b1,cc1,d1,e1,f1,g1,h1,i1,j1,q2,rr2,u2,v2,w2,x2,s2,t2,y2,a2,b2,cc2,d2,e2,f2,g2,h2,a3,b3,cc3,e3,f3,g3,h3,i3,a4,b4,cc4,CCF,iUnInsul,WalkSlab,iFndFlag_1,iFndFlag_2,iFndFlag_3,iFndFlag_4,iFndFlag_5,iFndFlag_6,iFndFlag_7,iFndFlag_8
103,BWIA_2,-0.0127,0.649,0.00345,0.804,1,1,1,1,0,0.0015,-0.126,0.00784,0.809,0.62,7.878,0.5,0.357,0.00683,0.0101,2.585,0.243,0.427,0.228,0.292,0.039,0.0246,0,0.0143,-0.0351,-0.0264,0.0924,0.2088,0.192,0.537,0,3.106,-0.278,-0.38,6,13,61,0,0,0,1,1,1,0,1
104,SCA_1,0.0194,0,0.00196,0.054,1,1,1,1,0,0,-3.178,0.398,1,0,1,0,0.517,0.0137,0,1.912,0,0.795,0.185,0.0267,-0.0042,0,0,0.0165,0.4,0,0.0494,0.0196,0,0.787,0,2.706,0.0663,0,6,28,0,0,0,0,0,0,0,0,1
105,SCA_2,0.0453,0,0.00237,0.0564,1,1,1,1,0,0,-3.198,0.396,1,0,1,0,0.513,0.0138,0,1.936,0,0.78,0.184,0.0299,-0.00567,0,0,0.0313,0.4,0,0.0595,0.0176,0,0.791,0,2.721,0.0687,0,6,29,0,1,0,0,0,0,0,0,1
106,SCA_9,0.0178,0,0.00176,0.0925,1,1,1,1,0,0,-3.033,0.375,1,0,1,0,0.461,0.0159,0,1.831,0,0.774,0.19,0.0563,-0.01,0,0,-0.021,0.331,0,0.0849,0.0382,0,0.744,0,2.583,0.154,0,6,28,0,0,0,0,0,0,0,0,1
107,SCA_10,0.041,0,0.0022,0.101,1,1,1,1,0,0,-3.0475,0.374,1,0,1,0,0.458,0.0159,0,1.852,0,0.76,0.19,0.0601,-0.0118,0,0,-0.0133,0.432,0,0.0986,0.0352,0,0.749,0,2.597,0.159,0,6,29,0,1,0,0,0,0,0,0,1
108,BBIN_1,-0.0129,0.6499,0.0023,0.803769,1,1,1,1,0,0.002992,0.269209,0.31487,0.214797,0.62,0.727638,0.5,-0.049231,0.023589,0.178418,0.71543,0.796889,0.391086,0.293721,2.93086,-0.057227,-0.9863,0,0.195559,0.310135,-0.180597,0.009348,0.08633,0.213013,0.63429,0,1.78195,1.029925,0.13112,3,10,28,0,0,0,0,0,1,0,0
109,BCEN_5,-0.0827,0.7474,0.00494,0.8809,1,1,1,1,0,0.3549,0.7654,0.45778,0.193889,0.62,0.3765,0.5,-0.00293,0.0224,0.143538,0.347228,0.872426,0.62458,0.12345,1.337,-0.09839,-0.46423,0,-0.3996,0.51579,0.2662,0.2536,0.03126,-0.013035,0.797335,0,2.7117,0.1919,0.49857,5,9,29,1,0,0,0,0,0,1,0
110,BCEN_6,-0.03753,0.76462,0.00221,0.8879,1,1,1,1,0,0.120195,0.770237,0.45958,0.19447,0.62,0.37363,0.5,-0.003087,0.022389,0.14446,0.34784,0.8795,0.61523,0.11379,1.3342,-0.1005,-0.4588,0,-0.34035,0.51617,0.26668,0.2511,0.031627,-0.0054,0.79495,0,2.71066,0.19506,0.49395,5,10,28,0,0,0,0,0,0,1,0
111,BBIA_1,-0.0127,0.6498,0.0024,0.8039,1,1,1,1,0,0.0027,-0.0339,0.347,0.2,0.62,0.69,0.5,-0.0546,0.0254,0.1794,0.7309,0.685,0.372,0.221,2.535,-0.0251,-0.826,0,0.133,0.256,-0.151,0.0357,0.101,0.21,0.647,0,-2.296,5.091,0.0314,3,13,105,0,0,0,0,0,1,0,1
112,BBIB_1,-0.01288,0.6499,0.002346,0.803777,1,1,1,1,0,0.00295,0.10351,0.3309,0.2145,0.62,0.7226,0.5,-0.06234,0.0252,0.17736,0.71855,0.76155,0.382,0.27835,2.91033,-0.05147,-0.97601,0,0.18525,0.2984,-0.173,0.01266,0.087635,0.21262,0.63598,0,1.6712,1.1402,0.12,7,13,35,0,0,0,0,0,1,0,1
113,BBIB_2,-0.013,0.64985,0.00335,0.80374,1,1,1,1,0,0.00218,0.928299,-0.0525,0.62292,0.62,-2.922,0.735,0.711757,0.008103,-0.1873,3.3477,0.1657,0.51006,0.27072,0.17519,0.04455,0.0374,0,0.17388,0.03454,-0.069,0.0341,0.2268,0.1635,0.593769,0,2.4343,0.40347,0.20162,7,13,53,0,0,0,0,0,1,0,1
114,BCCB_9,0.092179,0.371259,0.048327,0.96235,1,1,1,1,0,0.030159,0.5248,-0.033659,0.65985,0.62,-3.9195,0.735,0.591498,0.006708,-0.12844,3.057845,0.218556,0.535304,0.282197,0.280364,0.0564,0.0331,0,0.000966,-0.01883,-0.01174,0.0272,0.2459,0.13878,0.66504,0,2.42099,0.417256,1,7,9,53,0,0,0,0,0,1,1,1
115,BCCB_10,0.06209,0.378913,0.039857,0.978853,1,1,1,1,0,0.060326,7.48725,-0.452186,0.066454,0.62,-2.81854,0.735,1.24455,-0.000196,-0.281688,7.284925,0.19206,0.81025,0.57072,0.056399,-0.017679,0.018369,0,0.041629,0.249299,-0.09626,-0.019194,0.093779,0.17827,0.794877,0,2.37477,0.45475,1,7,9,35,0,0,0,0,0,1,1,1
116,BCCA_1,1.248,1.583,0.0585,0.271,3.092,0.292,1.523,-0.918,1,0.142,-0.0939,0.0806,1.261,0.62,-0.0347,0.5,-0.0413,0.0148,0.0832,1.789,0.196,0.561,0.165,0.0301,0.121,0.144,0.676,-0.148,0.0578,0.127,0.702,0.136,-0.151,0.183,1.242,2.72,0.178,0.499,8,9,61,1,1,0,0,0,1,1,1
117,BCCA_4,1.0662,1.743,0.0572,0.277,3.036,0.233,1.426,-0.873,1,0.124,-0.0903,0.0796,1.28,0.62,-0.0335,0.5,-0.0398,0.0149,0.0815,1.792,0.199,0.56,0.165,0.0328,0.121,0.141,0.676,-0.155,0.0571,0.132,0.704,0.136,-0.147,0.179,1.219,2.732,0.169,0.52,8,10,60,0,1,0,0,0,1,1,1
118,BCIB_7,-0.0946,0.766,0.132,0.992,1,1,1,1,0,0.0855,1.185,0.199,0.332,0.62,-0.26,0.5,-0.427,0.0142,0.226,2.21,-0.211,0.566,0.36,0.653,0.3,-0.248,0,-0.727,0.248,0.749,0.483,0.177,-0.252,0.728,0,2.827,0.128,0.411,7,9,55,1,0,1,0,0,1,0,1
119,BCIB_8,-0.102,0.776,0.124,0.964,1,1,1,1,0,0.0749,1.181,0.198,0.337,0.62,-0.26,0.5,-0.427,0.0142,0.225,2.215,-0.206,0.565,0.359,0.655,0.297,-0.248,0,-0.729,0.247,0.754,0.482,0.177,-0.249,0.728,0,2.828,0.128,0.411,7,10,54,0,0,1,0,0,1,0,1
120,BBEB_2,-0.030759,0.651,0.000081,0.8091,1,1,1,1,0,0.07546,0.50452,-0.032,0.6756,0.62,-3.9115,0.73,0.61716,0.0072,-0.1345,3.0768,0.2224,0.4909,0.2657,0.2801,0.0564,0.02236,0,0.03448,-0.0324,-0.0185,0.09223,0.244,0.1681,0.5742,0,2.502,0.4325,1,8,13,55,1,0,0,0,0,0,1,1
121,BCIA_3,-0.03583,0.75615,0.0941,0.8313,1,1,1,1,0,0.02503,6.65478,-0.4235,0.07214,0.62,-2.8025,0.735,1.1748,0.00412,-0.27813,6.7696,0.1931,0.7584,0.5274,0.1009,-0.02675,0.02018,0,0.07152,0.2071,-0.1115,0.10298,0.1319,0.21236,0.76979,0,2.4714,0.5408,1,3,9,105,1,0,0,0,0,1,0,1
122,BCIA_5,-0.102755,0.7584,0.12785,0.92383,1,1,1,1,0,0.0954,0.356082,1.17517,0.193035,0.62,0.01989,0.5,0.385205,0.010492,0.231285,0.53347,0.5296,0.67814,-0.22661,0.19425,-0.0088,-0.0634,0,-0.50558,0.46332,0.51675,0.31844,0.07185,-0.10634,0.820841,0,2.78513,0.17709,1,2,9,105,1,0,1,0,0,1,0,1
123,BCIA_6,-0.110115,0.76857,0.11965,0.8962,1,1,1,1,0,0.084336,0.322508,1.177253,0.19252,0.62,0.018815,0.5,0.38332,0.010505,0.232525,0.54605,0.53498,0.67323,-0.22055,0.19379,-0.008839,-0.06292,0,-0.507432,0.46261,0.521787,0.3177,0.07204,-0.10358,0.820152,0,2.785986,0.1775,1,2,10,104,0,0,1,0,0,1,0,1
124,BCIB_9,-0.09573,0.7595,0.1209,0.9444,1,1,1,1,0,0.094136,0.392119,1.244337,0.17621,0.62,-0.01798,0.5,0.33474,0.010732,0.25804,0.525216,0.588802,0.676886,-0.21816,0.21082,-0.01247,-0.0685,0,-0.58104,0.4675,0.55498,0.345205,0.06389,-0.11669,0.83493,0,2.75698,0.21415,1,2,9,84,1,0,1,0,0,1,0,1
